Graph,Folder,V,E
1345,testcsv,19,171
384,testcsv,14,49
636,testcsv,7,21
128,testcsv,18,49
1482,testcsv,11,55
646,testcsv,7,21
152,testcsv,10,45
446,testcsv,10,27
404,testcsv,7,12
455,testcsv,20,65
663,testcsv,12,38
116,testcsv,8,28
775,testcsv,30,435
1236,testcsv,8,28
1394,testcsv,11,55
14,testcsv,7,21
138,testcsv,22,60
815,testcsv,15,105
35,testcsv,15,44
1225,testcsv,21,64
875,testcsv,7,21
980,testcsv,8,28
865,testcsv,8,28
774,testcsv,15,40
863,testcsv,14,35
1249,testcsv,31,334
1070,testcsv,7,21
768,testcsv,7,21
1040,testcsv,7,21
226,testcsv,22,231
1096,testcsv,22,85
938,testcsv,10,25
1157,testcsv,7,21
1376,testcsv,9,20
440,testcsv,8,28
1071,testcsv,12,66
908,testcsv,12,38
111,testcsv,29,100
960,testcsv,7,17
302,testcsv,17,77
1032,testcsv,10,44
397,testcsv,38,703
137,testcsv,23,89
320,testcsv,10,26
352,testcsv,8,28
476,testcsv,7,21
1100,testcsv,7,21
702,testcsv,12,42
568,testcsv,17,56
781,testcsv,12,42
1064,testcsv,10,27
382,testcsv,17,53
1324,testcsv,12,42
380,testcsv,8,28
1014,testcsv,8,28
1247,testcsv,7,21
694,testcsv,7,21
869,testcsv,7,21
53,testcsv,36,168
707,testcsv,17,136
1008,testcsv,10,45
1193,testcsv,17,136
346,testcsv,14,36
1201,testcsv,9,36
1086,testcsv,15,63
474,testcsv,10,30
766,testcsv,7,21
1051,testcsv,8,26
353,testcsv,8,28
1325,testcsv,8,28
1181,testcsv,19,171
1361,testcsv,15,40
1383,testcsv,20,190
628,testcsv,7,21
1447,testcsv,7,21
763,testcsv,7,21
495,testcsv,8,16
1466,testcsv,12,66
1165,testcsv,16,46
270,testcsv,7,21
556,testcsv,7,21
689,testcsv,9,21
1090,testcsv,8,16
359,testcsv,11,31
1243,testcsv,7,21
393,testcsv,11,43
432,testcsv,26,66
1475,testcsv,8,28
453,testcsv,22,135
893,testcsv,20,65
471,testcsv,7,21
1061,testcsv,35,232
1311,testcsv,13,41
1173,testcsv,8,28
145,testcsv,17,45
731,testcsv,14,50
650,testcsv,14,39
1424,testcsv,9,36
992,testcsv,14,42
68,testcsv,27,183
278,testcsv,40,133
401,testcsv,7,21
1011,testcsv,9,36
391,testcsv,16,67
724,testcsv,11,30
1185,testcsv,12,46
205,testcsv,7,21
405,testcsv,7,21
991,testcsv,54,647
442,testcsv,43,719
1405,testcsv,7,21
1092,testcsv,13,44
1124,testcsv,7,21
1310,testcsv,7,21
477,testcsv,18,61
259,testcsv,11,30
1082,testcsv,8,28
237,testcsv,8,28
131,testcsv,18,99
155,testcsv,12,41
142,testcsv,8,28
959,testcsv,8,28
186,testcsv,23,118
36,testcsv,22,73
843,testcsv,10,25
292,testcsv,22,231
367,testcsv,24,59
238,testcsv,12,32
1266,testcsv,7,21
174,testcsv,8,28
737,testcsv,7,21
434,testcsv,12,42
11,testcsv,17,53
517,testcsv,17,51
441,testcsv,16,45
1381,testcsv,14,49
340,testcsv,38,703
1020,testcsv,11,55
86,testcsv,8,28
675,testcsv,7,21
33,testcsv,13,30
1491,testcsv,11,34
187,testcsv,15,57
1186,testcsv,12,66
1286,testcsv,12,36
920,testcsv,51,858
659,testcsv,7,21
473,testcsv,11,30
598,testcsv,7,21
1000,testcsv,14,49
1168,testcsv,9,36
603,testcsv,31,465
951,testcsv,21,64
796,testcsv,7,21
1026,testcsv,9,20
755,testcsv,10,45
1417,testcsv,14,91
1413,testcsv,18,65
1363,testcsv,19,61
1330,testcsv,12,38
257,testcsv,20,190
928,testcsv,9,36
228,testcsv,18,35
1276,testcsv,18,153
874,testcsv,47,626
985,testcsv,11,31
767,testcsv,11,25
814,testcsv,8,28
100,testcsv,8,28
239,testcsv,52,186
480,testcsv,8,19
1128,testcsv,10,45
982,testcsv,40,159
918,testcsv,10,25
437,testcsv,9,36
1315,testcsv,8,28
215,testcsv,7,21
1170,testcsv,13,46
752,testcsv,7,21
98,testcsv,15,105
363,testcsv,9,24
378,testcsv,43,225
413,testcsv,9,20
534,testcsv,10,25
1465,testcsv,17,73
565,testcsv,9,20
750,testcsv,7,21
595,testcsv,7,21
435,testcsv,7,21
570,testcsv,10,45
1402,testcsv,8,28
95,testcsv,7,21
502,testcsv,9,36
668,testcsv,10,25
1300,testcsv,13,48
1003,testcsv,11,55
889,testcsv,15,105
730,testcsv,19,65
821,testcsv,7,21
1069,testcsv,13,54
1397,testcsv,9,36
787,testcsv,8,28
1120,testcsv,9,36
626,testcsv,24,83
1164,testcsv,11,31
1035,testcsv,8,28
898,testcsv,12,66
1113,testcsv,17,136
786,testcsv,11,31
436,testcsv,22,72
406,testcsv,10,27
747,testcsv,11,31
1410,testcsv,13,42
592,testcsv,38,113
984,testcsv,10,25
1379,testcsv,11,55
1147,testcsv,14,49
799,testcsv,12,36
848,testcsv,11,31
182,testcsv,10,25
102,testcsv,11,31
149,testcsv,15,53
1103,testcsv,8,28
336,testcsv,29,235
452,testcsv,7,21
1135,testcsv,9,36
8,testcsv,13,42
765,testcsv,7,21
180,testcsv,8,24
1125,testcsv,7,17
445,testcsv,7,13
773,testcsv,7,21
47,testcsv,7,21
207,testcsv,13,42
1400,testcsv,27,115
1260,testcsv,11,55
63,testcsv,12,66
1116,testcsv,12,36
350,testcsv,8,28
1387,testcsv,27,131
1362,testcsv,10,25
953,testcsv,19,71
1269,testcsv,48,431
1291,testcsv,9,36
1407,testcsv,8,28
509,testcsv,32,496
692,testcsv,9,20
578,testcsv,8,28
1107,testcsv,7,21
1305,testcsv,9,21
896,testcsv,11,30
523,testcsv,8,28
341,testcsv,20,190
759,testcsv,7,21
1219,testcsv,13,43
1375,testcsv,32,146
508,testcsv,32,496
400,testcsv,10,25
497,testcsv,23,116
326,testcsv,9,36
879,testcsv,8,18
645,testcsv,12,36
1190,testcsv,18,153
877,testcsv,7,21
118,testcsv,8,28
1343,testcsv,12,54
173,testcsv,28,226
1122,testcsv,7,21
640,testcsv,7,21
38,testcsv,32,109
825,testcsv,7,21
450,testcsv,8,28
60,testcsv,38,165
463,testcsv,9,20
1078,testcsv,14,66
1371,testcsv,7,21
819,testcsv,11,55
290,testcsv,20,55
561,testcsv,15,105
704,testcsv,14,55
741,testcsv,7,15
851,testcsv,10,25
50,testcsv,7,21
1238,testcsv,11,31
1177,testcsv,9,36
1308,testcsv,12,36
324,testcsv,10,25
479,testcsv,7,13
1423,testcsv,8,19
247,testcsv,7,21
449,testcsv,7,21
655,testcsv,7,21
1036,testcsv,11,55
1490,testcsv,8,28
1414,testcsv,9,36
127,testcsv,10,27
344,testcsv,17,136
354,testcsv,9,36
911,testcsv,7,21
1292,testcsv,11,55
540,traincsv,8,28
647,traincsv,10,30
117,traincsv,28,67
780,traincsv,7,21
287,traincsv,15,56
262,traincsv,8,28
739,traincsv,10,25
791,traincsv,7,21
163,traincsv,16,72
85,traincsv,7,21
1440,traincsv,13,46
1404,traincsv,8,28
1314,traincsv,8,28
852,traincsv,7,21
1004,traincsv,14,91
1368,traincsv,8,28
415,traincsv,35,94
387,traincsv,7,21
617,traincsv,18,83
732,traincsv,9,36
224,traincsv,9,20
1419,traincsv,7,21
1484,traincsv,15,97
1445,traincsv,13,66
1420,traincsv,25,206
460,traincsv,28,153
1333,traincsv,7,17
973,traincsv,11,31
1335,traincsv,7,21
894,traincsv,15,60
1454,traincsv,7,21
939,traincsv,18,63
580,traincsv,12,66
1460,traincsv,10,45
756,traincsv,7,21
812,traincsv,13,42
199,traincsv,44,134
601,traincsv,12,36
1388,traincsv,16,65
1353,traincsv,12,36
307,traincsv,7,21
1470,traincsv,12,66
1001,traincsv,34,304
133,traincsv,8,18
12,traincsv,8,28
67,traincsv,15,37
345,traincsv,12,42
1283,traincsv,22,127
364,traincsv,17,136
649,traincsv,7,21
499,traincsv,9,28
530,traincsv,10,29
866,traincsv,9,21
1206,traincsv,12,46
43,traincsv,22,231
839,traincsv,10,25
1354,traincsv,8,28
1022,traincsv,25,246
735,traincsv,51,858
203,traincsv,10,45
1306,traincsv,8,28
1253,traincsv,13,43
888,traincsv,8,28
388,traincsv,7,21
1089,traincsv,12,54
995,traincsv,7,21
906,traincsv,8,16
381,traincsv,7,21
1277,traincsv,8,28
166,traincsv,12,36
634,traincsv,7,21
1227,traincsv,46,153
1139,traincsv,16,72
1049,traincsv,8,28
1048,traincsv,31,326
266,traincsv,15,60
1358,traincsv,20,190
1029,traincsv,7,21
1391,traincsv,10,44
377,traincsv,9,36
1261,traincsv,7,21
169,traincsv,27,195
1416,traincsv,7,21
753,traincsv,27,72
864,traincsv,8,28
408,traincsv,26,175
710,traincsv,17,136
1328,traincsv,7,21
456,traincsv,10,45
433,traincsv,23,110
1205,traincsv,9,36
1199,traincsv,13,43
682,traincsv,19,51
782,traincsv,7,21
191,traincsv,11,34
80,traincsv,15,33
1436,traincsv,10,45
1336,traincsv,9,36
967,traincsv,7,21
1296,traincsv,9,36
558,traincsv,11,55
1374,traincsv,7,21
987,traincsv,11,30
1256,traincsv,7,21
826,traincsv,13,43
229,traincsv,11,31
159,traincsv,26,175
515,traincsv,8,28
83,traincsv,10,25
811,traincsv,8,28
153,traincsv,15,65
59,traincsv,8,28
66,traincsv,8,28
472,traincsv,10,45
1492,traincsv,24,96
948,traincsv,10,25
329,traincsv,10,29
1355,traincsv,7,21
328,traincsv,23,59
427,traincsv,8,28
1433,traincsv,11,55
754,traincsv,9,21
1065,traincsv,8,28
201,traincsv,10,25
703,traincsv,18,57
844,traincsv,11,22
1473,traincsv,16,49
369,traincsv,12,36
697,traincsv,7,21
271,traincsv,30,123
69,traincsv,28,88
681,traincsv,32,302
669,traincsv,11,55
761,traincsv,8,16
998,traincsv,7,21
466,traincsv,8,28
1059,traincsv,17,76
833,traincsv,11,37
1200,traincsv,7,21
813,traincsv,7,21
464,traincsv,19,67
715,traincsv,10,25
931,traincsv,7,21
899,traincsv,15,105
1450,traincsv,8,28
212,traincsv,13,31
510,traincsv,7,21
801,traincsv,11,34
972,traincsv,9,36
417,traincsv,14,91
1095,traincsv,8,28
638,traincsv,9,21
903,traincsv,10,27
529,traincsv,14,35
1217,traincsv,10,45
1441,traincsv,7,21
693,traincsv,23,188
537,traincsv,32,302
1495,traincsv,11,30
516,traincsv,7,21
950,traincsv,14,59
483,traincsv,7,21
857,traincsv,7,21
545,traincsv,7,21
762,traincsv,17,52
263,traincsv,9,36
134,traincsv,7,12
883,traincsv,9,24
956,traincsv,22,163
84,traincsv,23,110
1384,traincsv,8,28
728,traincsv,23,66
19,traincsv,8,28
968,traincsv,7,21
1432,traincsv,7,21
167,traincsv,8,28
836,traincsv,8,28
667,traincsv,7,21
112,traincsv,34,97
1359,traincsv,14,47
890,traincsv,10,25
177,traincsv,7,21
407,traincsv,8,28
481,traincsv,10,25
1129,traincsv,10,37
1301,traincsv,8,28
1160,traincsv,8,28
1118,traincsv,7,21
22,traincsv,9,36
487,traincsv,7,21
1270,traincsv,43,171
181,traincsv,17,62
806,traincsv,30,435
1167,traincsv,13,53
1195,traincsv,10,45
1429,traincsv,8,28
965,traincsv,12,36
1380,traincsv,8,28
1054,traincsv,7,21
492,traincsv,9,36
1396,traincsv,10,25
1448,traincsv,9,21
610,traincsv,20,58
1392,traincsv,12,66
1101,traincsv,14,51
1399,traincsv,7,21
375,traincsv,17,43
589,traincsv,14,40
1461,traincsv,11,55
178,traincsv,17,41
1121,traincsv,14,91
1115,traincsv,9,36
183,traincsv,7,21
538,traincsv,7,21
1273,traincsv,7,21
99,traincsv,10,45
1422,traincsv,13,32
286,traincsv,18,59
1360,traincsv,10,37
1456,traincsv,25,112
214,traincsv,12,66
283,traincsv,10,25
744,traincsv,18,153
188,traincsv,9,36
225,traincsv,18,76
997,traincsv,7,21
909,traincsv,10,18
74,traincsv,12,66
772,traincsv,9,36
1207,traincsv,15,44
736,traincsv,8,28
555,traincsv,13,45
531,traincsv,11,30
1250,traincsv,11,55
1304,traincsv,10,45
244,traincsv,9,36
371,traincsv,16,47
71,traincsv,8,28
1146,traincsv,19,171
573,traincsv,7,21
323,traincsv,10,25
468,traincsv,20,110
157,traincsv,14,50
1451,traincsv,7,21
665,traincsv,7,21
200,traincsv,12,27
778,traincsv,14,52
451,traincsv,7,21
265,traincsv,7,21
179,traincsv,16,74
913,traincsv,8,28
701,traincsv,10,25
97,traincsv,15,50
1102,traincsv,13,42
109,traincsv,17,76
1331,traincsv,17,58
536,traincsv,8,28
723,traincsv,22,73
469,traincsv,27,182
1469,traincsv,11,55
500,traincsv,8,16
1088,traincsv,9,36
557,traincsv,11,31
873,traincsv,8,28
1232,traincsv,14,55
1287,traincsv,9,36
1039,traincsv,20,86
82,traincsv,10,29
129,traincsv,11,34
810,traincsv,11,30
1254,traincsv,9,21
876,traincsv,9,36
342,traincsv,20,190
15,traincsv,16,47
966,traincsv,10,25
827,traincsv,51,858
429,traincsv,18,120
311,traincsv,9,17
486,traincsv,14,51
666,traincsv,89,1467
1408,traincsv,7,21
88,traincsv,7,21
733,traincsv,7,21
242,traincsv,7,21
521,traincsv,7,21
1210,traincsv,11,31
652,traincsv,11,30
1144,traincsv,18,85
419,traincsv,7,21
862,traincsv,27,73
135,traincsv,10,36
1494,traincsv,11,55
1153,traincsv,7,21
749,traincsv,12,36
424,traincsv,10,45
757,traincsv,10,45
854,traincsv,10,45
24,traincsv,7,21
478,traincsv,10,29
218,traincsv,9,36
1425,traincsv,9,36
685,traincsv,43,593
996,traincsv,10,25
513,traincsv,9,36
923,traincsv,9,20
853,traincsv,7,21
904,traincsv,17,51
1338,traincsv,7,21
1426,traincsv,30,112
915,traincsv,11,30
5,traincsv,8,16
881,traincsv,7,21
493,traincsv,24,68
49,traincsv,7,21
1240,traincsv,13,54
986,traincsv,7,21
196,traincsv,21,90
394,traincsv,12,66
1171,traincsv,14,50
34,traincsv,8,28
1123,traincsv,19,171
856,traincsv,10,45
613,traincsv,27,87
27,traincsv,38,703
447,traincsv,7,21
248,traincsv,8,28
1474,traincsv,9,36
745,traincsv,17,136
249,traincsv,9,20
490,traincsv,10,45
115,traincsv,15,40
0,traincsv,7,21
1108,traincsv,18,71
443,traincsv,11,41
1352,traincsv,11,55
356,traincsv,41,173
1112,traincsv,11,28
661,traincsv,22,71
325,traincsv,8,16
1248,traincsv,18,153
1131,traincsv,20,190
1060,traincsv,9,36
1233,traincsv,7,21
1098,traincsv,13,48
1162,traincsv,8,28
431,traincsv,12,66
1259,traincsv,7,21
126,traincsv,10,36
276,traincsv,7,21
81,traincsv,19,94
58,traincsv,7,21
16,traincsv,14,49
1180,traincsv,18,70
30,traincsv,9,36
902,traincsv,10,25
1452,traincsv,13,64
1427,traincsv,27,101
643,traincsv,16,47
845,traincsv,11,31
1267,traincsv,9,36
625,traincsv,7,21
162,traincsv,29,117
62,traincsv,15,42
299,traincsv,10,25
104,traincsv,7,17
1211,traincsv,9,36
1382,traincsv,9,36
1117,traincsv,7,21
554,traincsv,15,58
1418,traincsv,14,91
1439,traincsv,33,221
368,traincsv,24,168
958,traincsv,23,62
1050,traincsv,7,21
1389,traincsv,15,69
1479,traincsv,7,21
107,traincsv,12,36
1220,traincsv,7,21
660,traincsv,16,40
803,traincsv,7,21
691,traincsv,7,21
418,traincsv,12,41
1174,traincsv,9,36
54,traincsv,16,64
867,traincsv,8,28
662,traincsv,15,60
976,traincsv,11,30
506,traincsv,18,66
635,traincsv,32,496
720,traincsv,7,21
1017,traincsv,20,190
989,traincsv,7,21
858,traincsv,26,84
924,traincsv,32,496
1351,traincsv,11,55
512,traincsv,9,21
220,traincsv,10,29
154,traincsv,11,30
700,traincsv,7,21
1341,traincsv,7,21
1178,traincsv,27,213
1483,traincsv,11,55
1191,traincsv,9,36
168,traincsv,14,52
351,traincsv,11,30
1455,traincsv,9,36
600,traincsv,9,36
79,traincsv,9,36
373,traincsv,7,21
734,traincsv,7,21
892,traincsv,7,21
140,traincsv,9,20
1074,traincsv,23,134
458,traincsv,8,28
1142,traincsv,10,27
1344,traincsv,16,64
1076,traincsv,8,28
994,traincsv,32,496
1094,traincsv,14,91
1175,traincsv,10,45
319,traincsv,8,16
798,traincsv,7,21
40,traincsv,17,41
544,traincsv,12,36
146,traincsv,8,28
743,traincsv,30,435
842,traincsv,15,56
1041,traincsv,9,36
1393,traincsv,7,21
57,traincsv,11,22
571,traincsv,16,48
582,traincsv,10,27
553,traincsv,8,28
1083,traincsv,17,69
590,traincsv,8,28
349,traincsv,10,45
32,traincsv,7,12
1231,traincsv,8,28
1093,traincsv,9,36
403,traincsv,8,28
729,traincsv,11,31
602,traincsv,11,30
316,traincsv,14,91
783,traincsv,14,35
1228,traincsv,7,21
339,traincsv,18,58
1320,traincsv,7,21
465,traincsv,13,46
797,traincsv,10,25
1347,traincsv,7,21
698,traincsv,7,21
1365,traincsv,8,28
1005,traincsv,11,55
771,traincsv,11,34
671,traincsv,21,54
